firm,date,amount,party,ideology_score
Orbit Semiconductor,2011-04-04,1362.18,R,0.3656188092303535
SilverRock Solutions,2011-06-27,2021.75,D,-0.34508089355433375
Ironwood Aerospace,2014-10-08,1459.71,D,0.23918635548065395
TerraLine Logistics,2013-03-16,3997.61,D,-0.7679229314410365
Skyline Retail,2023-02-10,2075.89,R,-0.22364750236744266
Falcon Semiconductor,2013-02-07,939.41,D,0.16770146378342482
UrbanStar Retail,2019-06-21,667.61,R,0.02898247316376057
United Semiconductor,2010-04-05,3673.39,R,0.7031948302175441
Titan Aerospace,2015-12-26,1756.83,D,0.30257157452147504
Horizon Capital,2020-03-05,480.45,D,-0.5446174747209411
Apex Systems,2021-03-24,2023.81,D,-0.3524012410794814
Aspire Automotive,2023-08-29,560.94,R,-0.35502088901491985
BlueRiver Manufacturing,2021-11-23,2174.13,D,-0.7814248212212955
Arclight Manufacturing,2011-04-20,1949.16,R,-0.6856182543666501
Redwood Partners,2021-12-12,1076.99,D,-0.41854096357774834
Horizon Capital,2023-08-10,468.06,R,-0.5446174747209411
Falcon Semiconductor,2018-12-13,2426.74,D,0.16770146378342482
NorthStar Retail Group,2012-09-18,940.03,D,-0.21768137947876254
Redwood Partners,2015-03-01,683.83,R,-0.41854096357774834
PrimeHealth Corporation,2015-02-19,271.36,R,0.09481580189139682
Harbor Retail Group,2014-10-22,423.92,D,0.18917697133120992
NovaBridge Partners,2020-08-08,3711.63,R,-0.5350259359541526
Redwood Partners,2012-03-05,1730.41,D,-0.41854096357774834
NorthStar Retail Group,2011-03-20,923.17,D,-0.21768137947876254
Titan Aerospace,2017-08-11,1321.96,D,0.30257157452147504
Paramount Systems,2020-01-24,755.42,D,-0.6533450784599586
Aurora Networks,2011-09-10,769.32,D,-0.5046547262203107
Highland Logistics,2010-05-01,1632.22,D,-0.20675394355677812
Frontier Semiconductor,2020-11-22,1812.15,D,0.5736896411960379
EaglePeak Aerospace,2018-07-02,966.58,R,0.6649897912920661
Apex Systems,2020-03-16,297.14,D,-0.3524012410794814
Riverstone Technologies,2013-06-22,1391.07,D,-0.23339868032552136
BlueRiver Manufacturing,2011-04-14,1340.85,D,-0.7814248212212955
Liberty Capital,2013-07-13,1122.42,D,-0.6437524832958241
Liberty Capital,2023-05-07,590.33,D,-0.6437524832958241
Harbor Retail Group,2022-10-11,764.1,D,0.18917697133120992
Redwood Partners,2017-02-04,1693.71,D,-0.41854096357774834
Orbit Semiconductor,2015-12-16,1476.15,R,0.3656188092303535
GoldenGate Networks,2011-08-18,1513.1,R,-0.5643838184211613
Apex Systems,2015-12-13,571.76,D,-0.3524012410794814
Aurora Networks,2022-03-09,910.48,D,-0.5046547262203107
Equinox Manufacturing,2022-06-10,1217.6,D,-0.6370463795472789
Brightline Capital,2016-04-27,1547.96,D,-0.7954508682253574
United Semiconductor,2015-12-03,599.58,R,0.7031948302175441
UrbanStar Retail,2016-03-16,469.01,R,0.02898247316376057
Summit Technologies,2015-11-16,2689.72,R,-0.6074794771416165
Northbridge Holdings,2010-03-21,1222.24,D,-0.6469534176374777
Atlas Health,2023-01-24,1526.9,R,-0.3304489338964671
Quantum Systems,2010-11-23,574.35,R,-0.41357155810874113
Infinity Partners,2017-12-07,2114.22,D,-0.2896112414347556
Horizon Capital,2013-12-21,751.83,D,-0.5446174747209411
Millennium Retail Group,2015-07-26,1951.66,D,-0.26308908144152243
Longview Energy,2010-11-14,1622.07,R,0.5124859787131362
Cobalt Holdings,2015-02-08,401.02,D,-0.34637523032738454
SilverRock Solutions,2011-07-23,633.59,R,-0.34508089355433375
Horizon Capital,2022-01-10,1455.37,D,-0.5446174747209411
Heritage Automotive,2019-09-30,799.6,D,-0.3113024235082412
Cypress Health,2021-06-21,621.3,D,-0.1277995867856065
Atlas Health,2019-10-13,1240.67,D,-0.3304489338964671
Apex Systems,2014-06-03,3552.61,D,-0.3524012410794814
Evercrest Systems,2012-10-17,1701.66,D,-0.6911643501317529
BluePeak Technologies,2017-04-26,1125.16,D,-0.7292989994131897
GoldenGate Networks,2024-11-30,1188.98,D,-0.5643838184211613
Mountain Ridge Industries,2016-10-01,3858.72,D,-0.12995084945525315
GoldenGate Networks,2024-09-07,897.44,D,-0.5643838184211613
Greenfield Manufacturing,2020-08-12,1003.92,D,-0.2359265237170345
NextWave Semiconductor,2011-11-26,1682.67,D,0.3591266769818179
Riverstone Technologies,2015-04-09,1394.28,D,-0.23339868032552136
Titan Aerospace,2011-01-14,1688.78,R,0.30257157452147504
Redwood Partners,2020-03-19,1953.13,D,-0.41854096357774834
Sapphire Energy,2018-08-12,1514.19,D,0.16492209036610356
MetroTech Solutions,2012-05-23,282.92,D,-0.28918774931432745
Horizon Capital,2015-08-04,1121.82,D,-0.5446174747209411
Arclight Manufacturing,2024-12-21,842.79,D,-0.6856182543666501
AmeriCore Energy,2019-12-05,10876.21,D,0.7811810347855594
Centurion Capital,2022-04-16,2492.92,D,-0.39585349832026656
Highland Logistics,2015-10-25,1914.07,D,-0.20675394355677812
Aspire Automotive,2021-09-10,2221.43,R,-0.35502088901491985
MetroTech Solutions,2016-05-29,817.77,D,-0.28918774931432745
Redwood Partners,2013-02-07,684.84,R,-0.41854096357774834
Crescent Automotive,2011-06-11,2424.39,D,-0.7791419463933508
Sapphire Energy,2014-08-22,1197.02,R,0.16492209036610356
Vertex Energy,2010-06-10,3529.36,R,0.7556582113987458
Cobalt Holdings,2017-11-21,1304.78,D,-0.34637523032738454
Brightline Capital,2022-04-01,746.09,D,-0.7954508682253574
Paramount Systems,2019-10-11,713.42,D,-0.6533450784599586
MetroTech Solutions,2019-01-26,593.88,R,-0.28918774931432745
BluePeak Technologies,2023-12-16,1048.49,D,-0.7292989994131897
NovaBridge Partners,2010-08-11,818.8,R,-0.5350259359541526
Frontier Semiconductor,2011-02-16,486.53,R,0.5736896411960379
Skyline Retail,2018-07-03,655.64,R,-0.22364750236744266
Longview Energy,2011-11-02,1868.85,R,0.5124859787131362
EaglePeak Aerospace,2024-08-14,655.23,R,0.6649897912920661
Summit Technologies,2022-08-26,282.04,D,-0.6074794771416165
Ironwood Aerospace,2023-08-04,689.65,R,0.23918635548065395
United Semiconductor,2013-09-03,3569.06,D,0.7031948302175441
Brightline Capital,2018-06-02,479.21,D,-0.7954508682253574
GoldenGate Networks,2024-01-26,451.19,D,-0.5643838184211613
Redwood Partners,2022-09-11,1257.89,R,-0.41854096357774834
NextWave Semiconductor,2011-07-19,1231.73,R,0.3591266769818179
UrbanStar Retail,2020-12-29,399.76,D,0.02898247316376057
Sterling Logistics,2020-04-24,238.33,D,-0.17547430260660823
Equinox Manufacturing,2024-08-03,486.29,R,-0.6370463795472789
Longview Energy,2023-04-16,860.87,R,0.5124859787131362
Longview Energy,2020-06-03,676.28,R,0.5124859787131362
Vector Automotive,2017-04-16,944.25,D,-0.2194167350229036
Oakstone Industries,2016-04-09,866.91,D,-0.4462512983276463
Millennium Retail Group,2021-08-03,3064.31,D,-0.26308908144152243
BlueRiver Manufacturing,2015-05-23,1838.59,R,-0.7814248212212955
Vanguard Networks,2010-05-22,1738.9,D,-0.7441456161534608
Frontier Semiconductor,2024-11-22,942.26,R,0.5736896411960379
PrimeHealth Corporation,2022-05-06,1209.37,R,0.09481580189139682
Heritage Automotive,2015-03-04,1012.21,D,-0.3113024235082412
Atlas Health,2014-02-25,463.37,D,-0.3304489338964671
BlueRiver Manufacturing,2021-10-07,1023.62,D,-0.7814248212212955
United Semiconductor,2015-02-07,604.7,R,0.7031948302175441
Evercrest Systems,2012-10-31,1355.29,D,-0.6911643501317529
Zenith Industries,2022-11-16,1006.21,D,-0.3067997146495536
Riverstone Technologies,2011-02-25,1004.61,D,-0.23339868032552136
Skyline Retail,2018-12-27,943.55,D,-0.22364750236744266
MetroTech Solutions,2013-05-07,1292.4,R,-0.28918774931432745
Paramount Systems,2015-01-23,2018.52,D,-0.6533450784599586
Horizon Capital,2023-03-15,985.71,D,-0.5446174747209411
